voter_id,remaining_credits,max_possible_additional_votes,max_additional_projects,unused_projects,credits_used,usage_rate,remaining_category
74331297-7903-4514-ac57-9be3735bec46,1,1,1,7,98,98.98989898989899,1-4
e40232b4-ee78-4225-826c-3eb144fcf7f8,0,0,0,7,99,100.0,0
c386a383-a449-47ed-a831-5aa18697ec8e,0,0,0,7,99,100.0,0
2957c454-0ebf-4766-a889-4e90038296d6,19,4,7,7,80,80.8080808080808,10+
8dcd3cab-51f1-45e5-8de0-2343f60ef1cb,17,4,7,7,82,82.82828282828282,10+
742c62a5-0977-4810-9c57-791d292949a2,89,9,7,7,10,10.1010101010101,10+
8367e9f5-445f-4f64-ace3-8a823d67817d,2,1,2,7,97,97.97979797979798,1-4
8043150b-a0c4-4f7f-bda7-ba2433dc2e60,0,0,0,7,99,100.0,0
884bf3aa-a4fa-4254-a5b6-9e3e038ccc3b,86,9,7,7,13,13.131313131313133,10+
5f3a091f-2c12-475d-94e2-45a4190d5407,0,0,0,7,99,100.0,0
d1d5719f-b0fd-407f-8ff9-b5cdbf3a476a,1,1,1,7,98,98.98989898989899,1-4
68b688ba-8695-46b2-9ee9-d0b27d984668,3,1,3,7,96,96.96969696969697,1-4
289f09bb-03b2-4258-a682-32c5724a767d,0,0,0,7,99,100.0,0
588334c6-661c-4921-8b8b-c525796733df,0,0,0,7,99,100.0,0
f5ef5f70-59a4-428f-bf20-15f1c8ac9616,5,2,5,7,94,94.94949494949495,5-7
90a7201c-0dd1-4057-b8ee-bcf0c22a459a,36,6,7,7,63,63.63636363636363,10+
98fa984b-ec2e-45b7-b4bc-f819bc583cee,5,2,5,7,94,94.94949494949495,5-7
4644469e-a7a2-452a-a08e-31451134a30d,0,0,0,7,99,100.0,0
a7270f80-06a2-4557-9025-042d3517482a,0,0,0,7,99,100.0,0
dcd28adc-5ebf-4fa6-83bf-820f53bce610,2,1,2,7,97,97.97979797979798,1-4
90ec5cd1-67c7-4caf-a54f-f9ebec89a8e9,4,2,4,7,95,95.95959595959596,1-4
dc5512f4-dd08-4c4d-b46e-cf0f9680150a,3,1,3,7,96,96.96969696969697,1-4
2586ac10-92f8-45f0-b87e-26d496aefc11,1,1,1,7,98,98.98989898989899,1-4
62159dd1-59e7-43c8-8fc1-9f7998235c90,0,0,0,7,99,100.0,0
dd8f7975-f027-471f-9448-76ba906d9392,13,3,7,7,86,86.86868686868688,10+
942632fb-d570-4c47-9733-7764089b5a02,0,0,0,7,99,100.0,0
d63e9659-3b8a-4c09-b210-620cc674a459,5,2,5,7,94,94.94949494949495,5-7
fbcc57bb-9fbe-4db2-a080-ac64478e845a,0,0,0,7,99,100.0,0
19e570de-6129-47ec-ac91-06ea1dead5f4,1,1,1,7,98,98.98989898989899,1-4
3ef7874b-7e99-43e3-acd9-765f2671874f,7,2,7,7,92,92.92929292929293,5-7
ea39dab8-366b-4739-a95b-18317432352f,0,0,0,7,99,100.0,0
ff31f7d2-7535-416e-b36f-5a9a34e5e4fb,9,3,7,7,90,90.9090909090909,8-9
15445933-70e9-46da-831c-0297b626792a,1,1,1,7,98,98.98989898989899,1-4
7c55370f-25e8-44c0-ba6a-7ef515bf8fc2,1,1,1,7,98,98.98989898989899,1-4
82fa49d5-a7fa-4857-9b47-f3813d9c7d36,0,0,0,7,99,100.0,0
79146ba9-5ef3-4815-b220-6b1a70ac2dcb,0,0,0,7,99,100.0,0
a6519744-cc92-4eb8-a84a-374906a9bc2f,0,0,0,7,99,100.0,0
a8793c64-4c39-4e43-b93b-ffcf410a0e14,1,1,1,7,98,98.98989898989899,1-4
8e3eeb41-978d-4bda-9a2f-ba4da09af07c,0,0,0,7,99,100.0,0
9ffa2510-bbfd-4920-a6e0-1c709aad2f14,24,4,7,7,75,75.75757575757575,10+
160641a8-37c8-4a1c-ab24-d5f3b26689f0,0,0,0,7,99,100.0,0
ced5ce51-f8d6-4afe-95c7-28c587ea5191,0,0,0,7,99,100.0,0
3313242b-c92a-4703-a70e-1add57d09a31,0,0,0,7,99,100.0,0
e7b9a389-1d4c-4e6c-a82b-cb4d7c4b63c1,20,4,7,7,79,79.7979797979798,10+
0ae8b92a-d1e9-48e6-ba90-577333c541d4,18,4,7,7,81,81.81818181818183,10+
cd860396-9172-4010-afc4-dee63dc2a230,4,2,4,7,95,95.95959595959596,1-4
72bc7108-4e6f-400e-9557-fffa44ec644f,1,1,1,7,98,98.98989898989899,1-4
8a1fbfc3-1b3b-4f2e-af29-479b63cfd219,2,1,2,7,97,97.97979797979798,1-4
3ac1ddab-f2ca-49db-9dcf-6cf395b14722,2,1,2,7,97,97.97979797979798,1-4
46a90b85-79e6-496a-87b6-a056e5b73b24,1,1,1,7,98,98.98989898989899,1-4
32751439-dad8-451d-b034-a68df5770df4,0,0,0,7,99,100.0,0
d994c7eb-bada-4e0d-883b-5b9b5dd50e2d,1,1,1,7,98,98.98989898989899,1-4
9c291419-26c9-4fbb-86f5-26137bce1731,0,0,0,7,99,100.0,0
cb728023-5e99-4973-9860-98a76d46664b,0,0,0,7,99,100.0,0
c4058e2b-c263-44a7-a5b2-b7d6f07138a7,0,0,0,7,99,100.0,0
11cbb73c-4efa-4c0e-8c77-eafd9a48c4c0,6,2,6,7,93,93.93939393939394,5-7
7734b8bf-4016-47a4-87c0-4ba3322491be,0,0,0,7,99,100.0,0
650dcbe6-14ac-45e1-9f06-474afe6b2e22,1,1,1,7,98,98.98989898989899,1-4
bf330102-d8d4-414e-9d4e-d8ba6eee3005,0,0,0,7,99,100.0,0
d1775f04-1353-454b-9676-5b10d09f0b55,0,0,0,7,99,100.0,0
2a665423-d500-49b3-9d4f-d9a435f5d02f,1,1,1,7,98,98.98989898989899,1-4
af238cf2-6015-48a4-8719-379aa9974ea1,2,1,2,7,97,97.97979797979798,1-4
a45fc503-b356-4d23-af12-12c2317c2a0e,1,1,1,7,98,98.98989898989899,1-4
1b8f0071-ed39-431d-9109-a42dc4efc18a,0,0,0,7,99,100.0,0
acc16980-c1d1-4964-b4b0-34862a9c6dab,1,1,1,7,98,98.98989898989899,1-4
beb2f019-94fb-4c1f-82e7-489f3b226d21,0,0,0,7,99,100.0,0
811f9d22-22e9-4496-a643-f28a7b5f0953,2,1,2,7,97,97.97979797979798,1-4
7910d085-e907-4388-8672-bfbfb6f246ab,0,0,0,7,99,100.0,0
715457f1-2fdd-4dd6-818d-475a82535c48,0,0,0,7,99,100.0,0
58aa4929-68ce-4bd1-aea1-318599097269,37,6,7,7,62,62.62626262626263,10+
14587996-c229-4790-913a-97a75ae01a88,0,0,0,7,99,100.0,0
4e7af1de-a488-4235-b15d-bf2d4099ce37,17,4,7,7,82,82.82828282828282,10+
