bias_ratio,project_id,project_name,original_votes,corrected_votes,vote_change_pct,original_budget,corrected_budget,budget_change_pct,affected_votes,total_small_votes
0.0,0,Politics to Festival Project,327,327,0.0,30356.479762346826,30356.479762346826,0.0,0,295
0.0,1,Awaji Island Quest College,430,430,0.0,39918.30672112885,39918.30672112885,0.0,0,295
0.0,2,Inatori Art Center Plan,337,337,0.0,31284.812476791685,31284.812476791685,0.0,0,295
0.0,3,JINEN TRAVEL,328,328,0.0,30820.646119569254,30820.646119569254,0.0,0,295
0.0,4,Bio Rice Field Project,413,413,0.0,38711.47419235054,38711.47419235054,0.0,0,295
0.0,5,Para Travel Support Team,373,373,0.0,34626.81024879317,34626.81024879317,0.0,0,295
0.0,6,Chiba Youth Center PRISM,477,477,0.0,44281.470479019685,44281.470479019685,0.0,0,295
0.1,0,Politics to Festival Project,327,321,-1.834862385321101,30356.479762346826,30305.891238670694,-0.16664818869702994,29,295
0.1,1,Awaji Island Quest College,430,429,-0.23255813953488372,39918.30672112885,40502.26586102719,1.4628855476709097,29,295
0.1,2,Inatori Art Center Plan,337,329,-2.3738872403560833,31284.812476791685,31061.17824773414,-0.7148332093198436,29,295
0.1,3,JINEN TRAVEL,328,322,-1.8292682926829267,30820.646119569254,30777.945619335347,-0.1385451170239882,29,295
0.1,4,Bio Rice Field Project,413,404,-2.1791767554479415,38711.47419235054,38519.637462235645,-0.4955552174574758,29,295
0.1,5,Para Travel Support Team,373,361,-3.2171581769436997,34626.81024879317,34082.32628398791,-1.5724346565367946,29,295
0.1,6,Chiba Youth Center PRISM,477,474,-0.628930817610063,44281.470479019685,44750.755287009066,1.0597769290695205,29,295
0.2,0,Politics to Festival Project,327,314,-3.9755351681957185,30356.479762346826,30203.924586379377,-0.5025456744713641,59,295
0.2,1,Awaji Island Quest College,430,421,-2.0930232558139537,39918.30672112885,40496.344747979994,1.448052470986167,59,295
0.2,2,Inatori Art Center Plan,337,321,-4.747774480712167,31284.812476791685,30877.26048480185,-1.3027151506571257,59,295
0.2,3,JINEN TRAVEL,328,308,-6.097560975609756,30820.646119569254,30011.542901115812,-2.6251987557772507,59,295
0.2,4,Bio Rice Field Project,413,402,-2.663438256658596,38711.47419235054,39053.48210850327,0.8834794419177816,59,295
0.2,5,Para Travel Support Team,373,357,-4.289544235924933,34626.81024879317,34340.13081954598,-0.827911745804484,59,295
0.2,6,Chiba Youth Center PRISM,477,468,-1.8867924528301887,44281.470479019685,45017.31435167372,1.661742179502987,59,295
0.3,0,Politics to Festival Project,327,302,-7.64525993883792,30356.479762346826,29538.34115805947,-2.695103683603487,88,295
0.3,1,Awaji Island Quest College,430,415,-3.488372093023256,39918.30672112885,40590.76682316119,1.6845907486261291,88,295
0.3,2,Inatori Art Center Plan,337,318,-5.637982195845697,31284.812476791685,31103.286384976527,-0.580237110098778,88,295
0.3,3,JINEN TRAVEL,328,302,-7.926829268292683,30820.646119569254,29929.57746478873,-2.8911420329204214,88,295
0.3,4,Bio Rice Field Project,413,392,-5.084745762711865,38711.47419235054,38732.39436619718,0.05404127402301352,88,295
0.3,5,Para Travel Support Team,373,352,-5.630026809651475,34626.81024879317,34428.79499217527,-0.5718553201844407,88,295
0.3,6,Chiba Youth Center PRISM,477,467,-2.0964360587002098,44281.470479019685,45676.838810641624,3.1511336830674064,88,295
0.4,0,Politics to Festival Project,327,297,-9.174311926605505,30356.479762346826,29581.673306772907,-2.5523593698600147,118,295
0.4,1,Awaji Island Quest College,430,409,-4.883720930232558,39918.30672112885,40737.051792828686,2.051051607523402,118,295
0.4,2,Inatori Art Center Plan,337,310,-8.011869436201781,31284.812476791685,30876.494023904383,-1.3051650962914014,118,295
0.4,3,JINEN TRAVEL,328,293,-10.670731707317072,30820.646119569254,29581.673306772907,-4.019944319109109,118,295
0.4,4,Bio Rice Field Project,413,388,-6.053268765133172,38711.47419235054,39043.82470119522,0.8585322976678306,118,295
0.4,5,Para Travel Support Team,373,344,-7.774798927613941,34626.81024879317,34262.948207171314,-1.0508101641690664,118,295
0.4,6,Chiba Youth Center PRISM,477,461,-3.3542976939203357,44281.470479019685,45916.33466135458,3.6919825937340653,118,295
0.5,0,Politics to Festival Project,327,287,-12.232415902140673,30356.479762346826,29119.31818181818,-4.0754448151237215,147,295
0.5,1,Awaji Island Quest College,430,403,-6.279069767441861,39918.30672112885,40888.79870129871,2.4311952582301606,147,295
0.5,2,Inatori Art Center Plan,337,299,-11.275964391691394,31284.812476791685,30336.850649350647,-3.030102316081563,147,295
0.5,3,JINEN TRAVEL,328,287,-12.5,30820.646119569254,29525.162337662336,-4.2032985839461805,147,295
0.5,4,Bio Rice Field Project,413,383,-7.263922518159806,38711.47419235054,39265.42207792208,1.430965617116685,147,295
0.5,5,Para Travel Support Team,373,340,-8.847184986595174,34626.81024879317,34496.75324675325,-0.37559625361232946,147,295
0.5,6,Chiba Youth Center PRISM,477,457,-4.1928721174004195,44281.470479019685,46367.694805194806,4.711280595714549,147,295
0.6,0,Politics to Festival Project,327,278,-14.984709480122325,30356.479762346826,28754.6545304096,-5.276716023984036,177,295
0.6,1,Awaji Island Quest College,430,398,-7.441860465116279,39918.30672112885,41166.735622672735,3.127459564518773,177,295
0.6,2,Inatori Art Center Plan,337,294,-12.759643916913946,31284.812476791685,30409.598676044687,-2.7975676740791293,177,295
0.6,3,JINEN TRAVEL,328,282,-14.02439024390244,30820.646119569254,29582.12660322714,-4.0184735632642266,177,295
0.6,4,Bio Rice Field Project,413,375,-9.200968523002421,38711.47419235054,39201.489449731074,1.265813993406016,177,295
0.6,5,Para Travel Support Team,373,329,-11.796246648793565,34626.81024879317,34029.788994621435,-1.7241589678117737,177,295
0.6,6,Chiba Youth Center PRISM,477,453,-5.031446540880504,44281.470479019685,46855.60612329334,5.8131214172150605,177,295
0.7,0,Politics to Festival Project,327,269,-17.737003058103976,30356.479762346826,28363.559679460144,-6.5650566155520895,206,295
0.7,1,Awaji Island Quest College,430,392,-8.837209302325581,39918.30672112885,41332.77098270772,3.5433974478436223,206,295
0.7,2,Inatori Art Center Plan,337,290,-13.94658753709199,31284.812476791685,30577.815267819486,-2.2598735712310187,206,295
0.7,3,JINEN TRAVEL,328,272,-17.073170731707318,30820.646119569254,29101.644875579925,-5.577434156702727,206,295
0.7,4,Bio Rice Field Project,413,369,-10.653753026634384,38711.47419235054,39329.39687895403,1.5962261822764439,206,295
0.7,5,Para Travel Support Team,373,322,-13.672922252010725,34626.81024879317,33951.91902150991,-1.949042439757448,206,295
0.7,6,Chiba Youth Center PRISM,477,449,-5.870020964360587,44281.470479019685,47342.89329396879,6.913552738497218,206,295
0.8,0,Politics to Festival Project,327,261,-20.18348623853211,30356.479762346826,28040.395358831112,-7.629621160449927,236,295
0.8,1,Awaji Island Quest College,430,385,-10.465116279069768,39918.30672112885,41362.2690159003,3.6172934509949037,236,295
0.8,2,Inatori Art Center Plan,337,287,-14.836795252225517,31284.812476791685,30833.69144821659,-1.4419809257599232,236,295
0.8,3,JINEN TRAVEL,328,266,-18.902439024390244,30820.646119569254,29007.305543618393,-5.883525507271888,236,295
0.8,4,Bio Rice Field Project,413,353,-14.527845036319611,38711.47419235054,38354.103996562095,-0.9231634889767767,236,295
0.8,5,Para Travel Support Team,373,321,-13.941018766756033,34626.81024879317,34486.46325741297,-0.4053130807365887,236,295
0.8,6,Chiba Youth Center PRISM,477,446,-6.498951781970649,44281.470479019685,47915.77137945853,8.207272389837993,236,295
0.9,0,Politics to Festival Project,327,252,-22.93577981651376,30356.479762346826,27571.115973741795,-9.175516431453637,265,295
0.9,1,Awaji Island Quest College,430,380,-11.627906976744185,39918.30672112885,41575.49234135667,4.151442674673045,265,295
0.9,2,Inatori Art Center Plan,337,278,-17.50741839762611,31284.812476791685,30415.754923413566,-2.7778896038543324,265,295
0.9,3,JINEN TRAVEL,328,256,-21.951219512195124,30820.646119569254,28446.389496717726,-7.703461548601403,265,295
0.9,4,Bio Rice Field Project,413,350,-15.254237288135593,38711.47419235054,38730.853391684905,0.05006060796876452,265,295
0.9,5,Para Travel Support Team,373,319,-14.47721179624665,34626.81024879317,34901.53172866521,0.7933779574213593,265,295
0.9,6,Chiba Youth Center PRISM,477,442,-7.337526205450734,44281.470479019685,48358.862144420134,9.207895811256527,265,295
1.0,0,Politics to Festival Project,327,246,-24.770642201834864,30356.479762346826,27443.10575635877,-9.597206358563708,295,295
1.0,1,Awaji Island Quest College,430,376,-12.558139534883722,39918.30672112885,41945.56001784917,5.078505235411933,295,295
1.0,2,Inatori Art Center Plan,337,261,-22.551928783382788,31284.812476791685,29116.465863453817,-6.930988047144068,295,295
1.0,3,JINEN TRAVEL,328,251,-23.47560975609756,30820.646119569254,28447.121820615797,-7.701085466363443,295,295
1.0,4,Bio Rice Field Project,413,348,-15.738498789346247,38711.47419235054,39268.1838464971,1.4380998547881827,295,295
1.0,5,Para Travel Support Team,373,311,-16.621983914209114,34626.81024879317,34694.33288710397,0.19500103482143677,295,295
1.0,6,Chiba Youth Center PRISM,477,440,-7.756813417190776,44281.470479019685,49085.229808121374,10.848238048864442,295,295
